Review,Rating
괜찮은 영화였어요. 몇몇 장면이 특히 인상 깊었습니다.,6
평범했지만 나쁘지 않았습니다.,5
그냥 그랬어요. 특별히 기억에 남는 부분은 없네요.,3
한 번쯤 볼 만한 영화입니다.,6
정말 훌륭한 영화였어요. 연출과 연기가 모두 완벽했습니다.,10
별로였어요. 시간 낭비 같았습니다.,4
스토리와 연출이 뛰어나서 감동적이었습니다.,8
기대보다는 아쉬웠지만 무난했습니다.,5
스토리가 지루하고 이해가 잘 안 갔어요.,2
연기와 연출 모두 아쉬웠습니다.,4
중간중간 재미있는 부분이 있었어요.,7
기대 이하였고 지루했습니다.,1
마지막까지 집중하기 힘들었어요.,2
스토리는 평범하지만 연기는 좋았습니다.,5
이야기가 전개가 매끄럽지 못했습니다.,2
추천하기 어렵네요.,3
배우들의 연기가 정말 인상 깊었어요. 추천합니다.,8
그냥 그랬어요. 특별히 기억에 남는 부분은 없네요.,4
여운이 오래 남는 작품이네요. 강력 추천합니다.,9
볼 만했지만 특별하진 않았습니다.,6
별로였어요. 시간 낭비 같았습니다.,1
연출과 음악이 뛰어나 감동적이었어요.,9
스토리가 지루하고 이해가 잘 안 갔어요.,3
시간 보내기엔 괜찮은 편이에요.,5
괜찮은 영화였어요. 몇몇 장면이 특히 인상 깊었습니다.,5
평범했지만 나쁘지 않았습니다.,5
다시 보고 싶을 만큼 좋았습니다.,9
모든 면에서 기대 이상이었어요.,8
연기와 연출 모두 아쉬웠습니다.,4
기대 이하였고 지루했습니다.,4
마지막까지 집중하기 힘들었어요.,1
한 번쯤 볼 만한 영화입니다.,5
이야기가 전개가 매끄럽지 못했습니다.,1
배우들의 호흡이 완벽했어요. 꼭 보세요.,8
추천하기 어렵네요.,2
기대보다는 아쉬웠지만 무난했습니다.,7
정말 훌륭한 영화였어요. 연출과 연기가 모두 완벽했습니다.,9
그냥 그랬어요. 특별히 기억에 남는 부분은 없네요.,3
별로였어요. 시간 낭비 같았습니다.,1
스토리가 지루하고 이해가 잘 안 갔어요.,1
중간중간 재미있는 부분이 있었어요.,6
스토리와 연출이 뛰어나서 감동적이었습니다.,10
스토리는 평범하지만 연기는 좋았습니다.,7
연기와 연출 모두 아쉬웠습니다.,3
볼 만했지만 특별하진 않았습니다.,5
기대 이하였고 지루했습니다.,3
마지막까지 집중하기 힘들었어요.,3
이야기가 전개가 매끄럽지 못했습니다.,4
추천하기 어렵네요.,1
시간 보내기엔 괜찮은 편이에요.,6
배우들의 연기가 정말 인상 깊었어요. 추천합니다.,10
여운이 오래 남는 작품이네요. 강력 추천합니다.,9
괜찮은 영화였어요. 몇몇 장면이 특히 인상 깊었습니다.,6
평범했지만 나쁘지 않았습니다.,5
그냥 그랬어요. 특별히 기억에 남는 부분은 없네요.,1
연출과 음악이 뛰어나 감동적이었어요.,9
다시 보고 싶을 만큼 좋았습니다.,9
한 번쯤 볼 만한 영화입니다.,5
별로였어요. 시간 낭비 같았습니다.,2
모든 면에서 기대 이상이었어요.,9
배우들의 호흡이 완벽했어요. 꼭 보세요.,8
정말 훌륭한 영화였어요. 연출과 연기가 모두 완벽했습니다.,10
스토리가 지루하고 이해가 잘 안 갔어요.,2
스토리와 연출이 뛰어나서 감동적이었습니다.,9
연기와 연출 모두 아쉬웠습니다.,3
기대보다는 아쉬웠지만 무난했습니다.,7
기대 이하였고 지루했습니다.,1
중간중간 재미있는 부분이 있었어요.,7
배우들의 연기가 정말 인상 깊었어요. 추천합니다.,8
스토리는 평범하지만 연기는 좋았습니다.,6
여운이 오래 남는 작품이네요. 강력 추천합니다.,9
마지막까지 집중하기 힘들었어요.,1
볼 만했지만 특별하진 않았습니다.,7
이야기가 전개가 매끄럽지 못했습니다.,1
연출과 음악이 뛰어나 감동적이었어요.,8
다시 보고 싶을 만큼 좋았습니다.,10
추천하기 어렵네요.,1
시간 보내기엔 괜찮은 편이에요.,5
모든 면에서 기대 이상이었어요.,9
배우들의 호흡이 완벽했어요. 꼭 보세요.,9
그냥 그랬어요. 특별히 기억에 남는 부분은 없네요.,2
정말 훌륭한 영화였어요. 연출과 연기가 모두 완벽했습니다.,9
괜찮은 영화였어요. 몇몇 장면이 특히 인상 깊었습니다.,5
별로였어요. 시간 낭비 같았습니다.,3
평범했지만 나쁘지 않았습니다.,6
스토리와 연출이 뛰어나서 감동적이었습니다.,10
한 번쯤 볼 만한 영화입니다.,6
스토리가 지루하고 이해가 잘 안 갔어요.,2
연기와 연출 모두 아쉬웠습니다.,3
기대 이하였고 지루했습니다.,3
배우들의 연기가 정말 인상 깊었어요. 추천합니다.,8
여운이 오래 남는 작품이네요. 강력 추천합니다.,9
연출과 음악이 뛰어나 감동적이었어요.,8
다시 보고 싶을 만큼 좋았습니다.,10
마지막까지 집중하기 힘들었어요.,1
이야기가 전개가 매끄럽지 못했습니다.,2
추천하기 어렵네요.,3
모든 면에서 기대 이상이었어요.,9
배우들의 호흡이 완벽했어요. 꼭 보세요.,10
정말 훌륭한 영화였어요. 연출과 연기가 모두 완벽했습니다.,8
기대보다는 아쉬웠지만 무난했습니다.,7
그냥 그랬어요. 특별히 기억에 남는 부분은 없네요.,4
중간중간 재미있는 부분이 있었어요.,7
스토리는 평범하지만 연기는 좋았습니다.,6
스토리와 연출이 뛰어나서 감동적이었습니다.,9
배우들의 연기가 정말 인상 깊었어요. 추천합니다.,10
별로였어요. 시간 낭비 같았습니다.,3
볼 만했지만 특별하진 않았습니다.,7
스토리가 지루하고 이해가 잘 안 갔어요.,4
시간 보내기엔 괜찮은 편이에요.,5
여운이 오래 남는 작품이네요. 강력 추천합니다.,9
괜찮은 영화였어요. 몇몇 장면이 특히 인상 깊었습니다.,6
평범했지만 나쁘지 않았습니다.,6
연기와 연출 모두 아쉬웠습니다.,3
기대 이하였고 지루했습니다.,4
마지막까지 집중하기 힘들었어요.,4
연출과 음악이 뛰어나 감동적이었어요.,8
한 번쯤 볼 만한 영화입니다.,5
다시 보고 싶을 만큼 좋았습니다.,8
기대보다는 아쉬웠지만 무난했습니다.,7
이야기가 전개가 매끄럽지 못했습니다.,1
중간중간 재미있는 부분이 있었어요.,5
추천하기 어렵네요.,3
모든 면에서 기대 이상이었어요.,9
그냥 그랬어요. 특별히 기억에 남는 부분은 없네요.,3
별로였어요. 시간 낭비 같았습니다.,3
배우들의 호흡이 완벽했어요. 꼭 보세요.,10
스토리가 지루하고 이해가 잘 안 갔어요.,4
스토리는 평범하지만 연기는 좋았습니다.,7
볼 만했지만 특별하진 않았습니다.,6
연기와 연출 모두 아쉬웠습니다.,2
정말 훌륭한 영화였어요. 연출과 연기가 모두 완벽했습니다.,9
기대 이하였고 지루했습니다.,3
시간 보내기엔 괜찮은 편이에요.,7
마지막까지 집중하기 힘들었어요.,2
이야기가 전개가 매끄럽지 못했습니다.,3
괜찮은 영화였어요. 몇몇 장면이 특히 인상 깊었습니다.,7
추천하기 어렵네요.,2
평범했지만 나쁘지 않았습니다.,7
스토리와 연출이 뛰어나서 감동적이었습니다.,9
한 번쯤 볼 만한 영화입니다.,6
그냥 그랬어요. 특별히 기억에 남는 부분은 없네요.,1
별로였어요. 시간 낭비 같았습니다.,3
스토리가 지루하고 이해가 잘 안 갔어요.,2
